"","Measure","Part","setosa","versicolor","virginica"
"184","Width","Sepal",4.2,2.7,2.8
"185","Width","Sepal",3.1,3,2.6
"186","Width","Sepal",3.2,3.4,3
"187","Width","Sepal",3.5,3.1,3.4
"188","Width","Sepal",3.6,2.3,3.1
"189","Width","Sepal",3,3,3
"190","Width","Sepal",3.4,2.5,3.1
"191","Width","Sepal",3.5,2.6,3.1
"192","Width","Sepal",2.3,3,3.1
"193","Width","Sepal",3.2,2.6,2.7
"194","Width","Sepal",3.5,2.3,3.2
"195","Width","Sepal",3.8,2.7,3.3
"196","Width","Sepal",3,3,3
"197","Width","Sepal",3.8,2.9,2.5
"198","Width","Sepal",3.2,2.9,3
"199","Width","Sepal",3.7,2.5,3.4
"200","Width","Sepal",3.3,2.8,3
